Name,Notes
accento-overdose-pride-edition,"['fruity notes', ' aldehydes', ' green notes', 'bulgarian rose', ' egyptian jasmine', ' lily-of-the-valley']"
classique-pride-2024,"['yuzu', ' citruses', 'orange blossom', ' neroli']"
classique-pride-2023,"['blood orange', ' yuzu', 'neroli', ' orange blossom']"
pride-edition-man,"['guarana', ' grapefruit', ' red apple', 'walnut', ' lavender', ' guava']"
le-male-pride-collector,"['mint', ' lavender', ' cardamom', ' artemisia', ' bergamot', 'caraway', ' cinnamon', ' orange blossom']"
le-male-pride-2023,"['yuzu', ' blood orange', 'neroli', ' orange blossom']"
le-male-pride-2024,"['citruses', ' yuzu', 'neroli', ' orange blossom']"
polo-red-pride-edition,"['cranberry', ' pink grapefruit', ' citron', 'clary sage', ' lavender', ' saffron']"
ralph-pride-edition,"['tangerine', ' green apple', ' freesia', 'magnolia', ' lime (linden blossom)', ' osmanthus']"
waffle,"['strawberry', ' almond', ' raspberry', 'butter', ' peach blossom', ' violet']"
le-male-pride-edition,"['blood orange', ' yuzu', 'neroli', ' orange blossom']"
rouge-imperiale,"['saffron', ' bulgarian rose', 'australian sandalwood', ' iris', ' jasmine']"
cherry-lady,"['watermelon', ' mango', ' papaya', ' pineapple', ' peach', ' lemon', 'lotus', ' hibiscus']"
french-kiss,"['lemon verbena', ' neroli', 'fig', ' corn', ' magnolia', ' saffron', ' barberry', ' cherry blossom']"
erba-oud,"['orange', ' bergamot', ' lemon', 'melon', ' saffron', ' peach', ' apple']"
donald-trump,"['cucumber', ' black basil', ' mint', ' citruses', 'spicy notes', ' pepper', ' herbal notes', ' woody notes']"
school,"['concrete', ' woody notes', ' ozonic notes', ' moss', 'rubber', ' paper', ' olibanum']"
glamour-gold-glam,"['raspberry', ' neroli', ' bergamot', 'jasmine', ' orange blossom', ' tuberose']"
clean-simply-soap,"['bergamot', ' frangipani', 'lotus', ' violet', ' rose']"
visionair-midnight-blue,"['watermelon', ' lavender', ' bergamot', 'lotus', ' jasmine']"
malbec-sport,"['nutmeg', ' cardamom', ' lime', ' bergamot', ' mandarin orange', ' juniper', 'lavender', ' geranium', ' head space waterfall', ' sage']"
cyber-sex,"['juniper berries', ' pink grapefruit', ' mandarin orange', ' neroli', 'rosemary', ' spices', ' cyclamen', ' lavender', ' almond blossom']"
classique-pride-edition,"['yuzu', ' blood orange', 'neroli', ' orange blossom']"
oud-imperium,"['apple', ' lavender', ' lemon', 'jasmine', ' vanilla', ' woody notes', ' lily-of-the-valley']"
vetiver,"['bergamot', ' lemon', ' orange', 'vetiver', ' orange blossom', ' lily-of-the-valley', ' rose', ' jasmine']"
cristina-la-veneno-veneno-pa-tu-piel,"['tonic water', ' gin', ' berry fruits', 'vinyl', ' blood', ' saffron', ' turkish rose']"
quickie-and-coffee,"['coffee', ' honey', ' pine', 'animal notes', ' saffron', ' marine notes', ' jasmine']"
orangerie-mimosa,"['mimosa', 'red lily']"
aventhis,"['bergamot', ' pineapple', ' apple', ' black currant leaf', 'birch', ' patchouli', ' red berries', ' jasmine']"
212-heroes-collector-edition,"['pear', ' cannabis', ' lemon zest', ' ginger', 'african geranium']"
wild-carrot-oud,"['carrot', ' cinnamon', ' bergamot', 'agarwood (oud)', ' dry wood', ' cedar', ' tobacco']"
titaniks,"['watery notes', ' bergamot', ' grapefruit', 'seaweed', ' myrtle', ' iris']"
neroli,"['neroli', 'jasmine sambac']"
snow-palace,"['ozonic notes', ' aquatic notes', ' aldehydes', 'white musk', ' lily of the valley', ' bergamot']"
neroli-outrenoir-2024,"['petitgrain', ' bergamot', ' lemon', ' tangerine', ' grapefruit', 'tea', ' neroli', ' earthy notes', ' orange blossom', ' smoke']"
santal-rouge,"['bitter orange', 'sandalwood', ' carnation', ' red berries']"
oud-luxuria,"['turkish rose', ' saffron', ' leather', ' red berries', ' orange', ' cinnamon', 'geranium', ' rose', ' jasmine', ' osmanthus']"
diesel-green-feminine-special-edition,"['lime', ' ginger', ' cinnamon', 'carnation', ' orange blossom', ' jasmine', ' rose']"
whispers-of-temptation,"['black currant', ' plum', ' cardamom', 'saffron', ' rose petals', ' night blooming jasmine']"
dodo-edition-2020,"['rosemary', ' petitgrain', ' bergamot', ' pink pepper', 'black currant', ' pineapple', ' clary sage', ' cardamom']"
oshi,"['freesia', ' litchi', ' peony', ' pepper', 'lily-of-the-valley', ' magnolia', ' violet root']"
spring-bloom,"['citruses', ' green notes', ' watery notes', ' mint', 'peony', ' apple', ' rose', ' lily-of-the-valley', ' plum']"
laaurora,"['bergamot', ' cardamom', ' violet', 'turkish rose', ' atlas cedar', ' carnation']"
charming-snowdrop,"['freesia', ' pepper', 'snowdrops', ' jasmine', ' bulgarian rose']"
desir-infini,"['italian lemon', ' red fruits', 'geranium', ' saffron']"
cafe,"['coffee', ' bergamot', ' lemon', 'lily', ' rosemary', ' orange blossom', ' rose']"
1-million,"['blood orange', ' grapefruit', ' mint', 'cinnamon', ' spices', ' rose']"
erato,"['coriander', ' lemon', ' orange', 'strawberry', ' violet', ' spun sugar', ' raspberry']"
new-look-2024,"['aldehydes', 'frankincense']"
morayma,"['fig leaf', ' guava', ' coriander', ' grapefruit', 'gardenia', ' jasmine', ' magnolia', ' chamomile', ' narcissus']"
flowers,"['basil', ' lime', ' bergamot', 'lily-of-the-valley', ' neroli', ' tuberose', ' rose']"
popper-pop,"['sweet almond', ' red apple', ' mint', ' nashi pear', 'orchid', ' magnolia', ' davana', ' pitosporum']"
kaorishiro,"['lemon verbena', ' jasmine', 'hyacinth', ' musk', ' lemon']"
lesnaa-malina-i-dusica-wild-raspberries-and-oregano,"['raspberry', ' watery notes', ' wild strawberry', 'rose hip', ' violet']"
collection-privee-brise-d-amour,"['neroli', ' rose hip', ' pineapple', ' green apple', ' jasmine', ' galbanum', 'freesia', ' iris', ' lily', ' lily-of-the-valley', ' rose']"
roma-eau-de-toilette-rosa,"['wild berries', ' bergamot', 'rose', ' jasmine', ' peony', ' neroli']"
campus,"['pineapple', ' apple', ' lemon', 'geranium', ' lavender', ' sandalwood']"
veneno,"['narcissus', ' cypriol oil or nagarmotha', ' saffron', ' osmanthus', 'cade oil', ' civet', ' patchouli', ' lily-of-the-valley', ' amber', ' rose']"
slightly-b-tch,"['leather', ' clementine', ' mint', ' bitter orange', ' green almond', 'ylang-ylang', ' artemisia', ' hawthorn', ' labdanum']"
souvenir,"['freesia', ' raspberry', ' litchi', 'lily-of-the-valley', ' lily', ' jasmine', ' ylang-ylang', ' rose', ' peony']"
love-pulse,"['carambola (star fruit)', 'rose']"
egeo-on-you,"['mint', ' eucalyptus', ' cardamom', ' pineapple', ' bergamot', ' peach', ' melon', 'fenugreek', ' woody notes', ' sage', ' green leaves', ' lavender', ' galbanum']"
uviolet,"['green leaves', ' pink grapefruit', 'flowers', ' magnolia', ' orchid', ' blackberry']"
scarlet-rain,"['blood orange', ' red currant', 'cyclamen', ' orchid', ' rose']"
western-leather-white,"['apple', ' rhubarb', ' red berries', 'pineapple', ' pear', ' black currant', ' freesia', ' rose', ' jasmine']"
